Time,control,height
0.453,0.5,1.300348
0.454,0.5,1.299459
0.455,0.5,1.298577
0.456,0.5,1.297701
0.457,0.5,1.296832
0.458,0.5,1.295969
0.459,0.5,1.295113
0.46,0.5,1.294264
0.461,0.5,1.293421
0.462,0.5,1.292585
0.463,0.5,1.291755
0.464,0.5,1.290933
0.465,0.5,1.290116
0.466,0.5,1.289307
0.467,0.5,1.288504
0.468,0.5,1.287707
0.469,0.5,1.286918
0.47,0.5,1.286135
0.471,0.5,1.285359
0.472,0.5,1.284589
0.473,0.5,1.283826
0.474,0.5,1.28307
0.475,0.5,1.28232
0.476,0.5,1.281578
0.477,0.5,1.280842
0.478,0.5,1.280112
0.479,0.5,1.27939
0.48,0.5,1.278674
0.481,0.5,1.277965
0.482,0.5,1.277262
0.483,0.5,1.276566
0.484,0.5,1.275878
0.485,0.5,1.275195
0.486,0.5,1.27452
0.487,0.5,1.273851
0.488,0.5,1.27319
0.489,0.5,1.272535
0.49,0.5,1.271886
0.491,0.5,1.271245
0.492,0.5,1.27061
0.493,0.5,1.269982
0.494,0.5,1.269361
0.495,0.5,1.268747
0.496,0.5,1.268139
0.497,0.5,1.267538
0.498,0.5,1.266945
0.499,0.5,1.266357
0.5,0.5,1.265777
0.501,0.5,1.265204
0.502,0.5,1.264637
0.503,0.5,1.264077
0.504,0.5,1.263524
0.505,0.5,1.262978
0.506,0.5,1.262439
0.507,0.5,1.261906
0.508,0.5,1.26138
0.509,0.5,1.260861
0.51,0.5,1.260349
0.511,0.5,1.259844
0.512,0.5,1.259346
0.513,0.5,1.258854
0.514,0.5,1.258369
0.515,0.5,1.257892
0.516,0.5,1.25742
0.517,0.5,1.256956
0.518,0.5,1.256499
0.519,0.5,1.256048
0.52,0.5,1.255605
0.521,0.5,1.255168
0.522,0.5,1.254738
0.523,0.5,1.254314
0.524,0.5,1.253898
0.525,0.5,1.253488
0.526,0.5,1.253086
0.527,0.5,1.25269
0.528,0.5,1.252301
0.529,0.5,1.251919
0.53,0.5,1.251543
0.531,0.5,1.251175
0.532,0.5,1.250813
0.533,0.5,1.250458
0.534,0.5,1.25011
0.535,0.5,1.249768
0.536,0.5,1.249434
0.537,0.5,1.249106
0.538,0.5,1.248785
0.539,0.5,1.248471
0.54,0.5,1.248164
0.541,0.5,1.247864
0.542,0.5,1.24757
0.543,0.5,1.247283
0.544,0.5,1.247003
0.545,0.5,1.24673
0.546,0.5,1.246463
0.547,0.5,1.246204
0.548,0.5,1.245951
0.549,0.5,1.245704
0.55,0.5,1.245465
0.551,0.5,1.245232
0.552,0.5,1.245007
0.553,0.5,1.244787
0.554,0.5,1.244575
0.555,0.5,1.244369
0.556,0.5,1.244171
0.557,0.5,1.243978
0.558,0.5,1.243793
0.559,0.5,1.243614
0.56,0.5,1.243442
0.561,0.5,1.243277
0.562,0.5,1.243119
0.563,0.5,1.242967
0.564,0.5,1.242822
0.565,0.5,1.242683
0.566,0.5,1.242552
0.567,0.5,1.242427
0.568,0.5,1.242308
0.569,0.5,1.242196
0.57,0.5,1.242091
0.571,0.5,1.241993
0.572,0.5,1.241901
0.573,0.5,1.241816
0.574,0.5,1.241738
0.575,0.5,1.241666
0.576,0.5,1.241601
0.577,0.5,1.241542
0.578,0.5,1.24149
0.579,0.5,1.241445
0.58,0.5,1.241406
0.581,0.5,1.241374
0.582,0.5,1.241348
0.583,0.5,1.241329
0.584,0.5,1.241317
0.585,0.5,1.241311
0.586,0.5,1.241311
0.587,0.5,1.241318
0.588,0.5,1.241332
0.589,0.5,1.241352
0.59,0.5,1.241379
0.591,0.5,1.241412
0.592,0.5,1.241452
0.593,0.5,1.241498
0.594,0.5,1.241551
0.595,0.5,1.24161
0.596,0.5,1.241675
0.597,0.5,1.241747
0.598,0.5,1.241826
0.599,0.5,1.24191
0.6,0.5,1.242002
0.601,0.5,1.242099
0.602,0.5,1.242203
0.603,0.5,1.242314
0.604,0.5,1.242431
0.605,0.5,1.242554
0.606,0.5,1.242684
0.607,0.5,1.242819
0.608,0.5,1.242962
0.609,0.5,1.24311
0.61,0.5,1.243265
0.611,0.5,1.243426
0.612,0.5,1.243594
0.613,0.5,1.243767
0.614,0.5,1.243947
0.615,0.5,1.244134
0.616,0.5,1.244326
0.617,0.5,1.244525
0.618,0.5,1.24473
0.619,0.5,1.244941
0.62,0.5,1.245158
0.621,0.5,1.245382
0.622,0.5,1.245612
0.623,0.5,1.245847
0.624,0.5,1.246089
0.625,0.5,1.246338
0.626,0.5,1.246592
0.627,0.5,1.246852
0.628,0.5,1.247119
0.629,0.5,1.247391
0.63,0.5,1.24767
0.631,0.5,1.247955
0.632,0.5,1.248245
0.633,0.5,1.248542
0.634,0.5,1.248845
0.635,0.5,1.249154
0.636,0.5,1.249469
0.637,0.5,1.249789
0.638,0.5,1.250116
0.639,0.5,1.250449
0.64,0.5,1.250788
0.641,0.5,1.251132
0.642,0.5,1.251483
0.643,0.5,1.251839
0.644,0.5,1.252201
0.645,0.5,1.252569
0.646,0.5,1.252943
0.647,0.5,1.253323
0.648,0.5,1.253709
0.649,0.5,1.2541
0.65,0.5,1.254498
0.651,0.5,1.254901
0.652,0.5,1.255309
0.653,0.5,1.255724
0.654,0.5,1.256144
0.655,0.5,1.25657
0.656,0.5,1.257002
0.657,0.5,1.257439
0.658,0.5,1.257882
0.659,0.5,1.258331
0.66,0.5,1.258786
0.661,0.5,1.259246
0.662,0.5,1.259711
0.663,0.5,1.260182
0.664,0.5,1.260659
0.665,0.5,1.261142
0.666,0.5,1.26163
0.667,0.5,1.262123
0.668,0.5,1.262622
0.669,0.5,1.263126
0.67,0.5,1.263636
0.671,0.5,1.264152
0.672,0.5,1.264673
0.673,0.5,1.265199
0.674,0.5,1.265731
0.675,0.5,1.266268
0.676,0.5,1.26681
0.677,0.5,1.267358
0.678,0.5,1.267912
0.679,0.5,1.26847
0.68,0.5,1.269034
0.681,0.5,1.269603
0.682,0.5,1.270178
0.683,0.5,1.270758
0.684,0.5,1.271343
0.685,0.5,1.271933
0.686,0.5,1.272528
0.687,0.5,1.273129
0.688,0.5,1.273735
0.689,0.5,1.274346
0.69,0.5,1.274962
0.691,0.5,1.275583
0.692,0.5,1.276209
0.693,0.5,1.276841
0.694,0.5,1.277477
0.695,0.5,1.278119
0.696,0.5,1.278766
0.697,0.5,1.279417
0.698,0.5,1.280074
0.699,0.5,1.280736
0.7,0.5,1.281402
0.701,0.5,1.282074
0.702,0.5,1.28275
0.703,0.5,1.283432
0.704,0.5,1.284118
0.705,0.5,1.284809
0.706,0.5,1.285505
0.707,0.5,1.286206
0.708,0.5,1.286911
0.709,0.5,1.287622
0.71,0.5,1.288337
0.711,0.5,1.289057
0.712,0.5,1.289782
0.713,0.5,1.290511
0.714,0.5,1.291245
0.715,0.5,1.291984
0.716,0.5,1.292728
0.717,0.5,1.293476
0.718,0.5,1.294228
0.719,0.5,1.294986
0.72,0.5,1.295748
0.721,0.5,1.296514
0.722,0.5,1.297285
0.723,0.5,1.298061
0.724,0.5,1.298841
0.725,0.5,1.299625
0.726,0.5,1.300414
0.727,0.5,1.301208
0.728,0.5,1.302006
0.729,0.5,1.302808
0.73,0.5,1.303615
0.731,0.5,1.304426
0.732,0.5,1.305241
0.733,0.5,1.306061
0.734,0.5,1.306885
0.735,0.5,1.307713
0.736,0.5,1.308546
0.737,0.5,1.309383
0.738,0.5,1.310224
0.739,0.5,1.311069
0.74,0.5,1.311918
0.741,0.5,1.312772
0.742,0.5,1.31363
0.743,0.5,1.314492
0.744,0.5,1.315358
0.745,0.5,1.316228
0.746,0.5,1.317102
0.747,0.5,1.31798
0.748,0.5,1.318862
0.749,0.5,1.319748
0.75,0.5,1.320638
0.751,0.5,1.321533
0.752,0.5,1.322431
0.753,0.5,1.323333
0.754,0.5,1.324238
0.755,0.5,1.325148
0.756,0.5,1.326062
0.757,0.5,1.326979
0.758,0.5,1.3279
0.759,0.5,1.328825
0.76,0.5,1.329754
0.761,0.5,1.330687
0.762,0.5,1.331623
0.763,0.5,1.332563
0.764,0.5,1.333507
0.765,0.5,1.334454
0.766,0.5,1.335405
0.767,0.5,1.336359
0.768,0.5,1.337318
0.769,0.5,1.338279
0.77,0.5,1.339245
0.771,0.5,1.340213
0.772,0.5,1.341186
0.773,0.5,1.342162
0.774,0.5,1.343141
0.775,0.5,1.344124
0.776,0.5,1.34511
0.777,0.5,1.346099
0.778,0.5,1.347092
0.779,0.5,1.348089
0.78,0.5,1.349088
0.781,0.5,1.350091
0.782,0.5,1.351097
0.783,0.5,1.352107
0.784,0.5,1.35312
0.785,0.5,1.354136
0.786,0.5,1.355155
0.787,0.5,1.356177
0.788,0.5,1.357203
0.789,0.5,1.358232
0.79,0.5,1.359263
0.791,0.5,1.360298
0.792,0.5,1.361336
0.793,0.5,1.362377
0.794,0.5,1.363422
0.795,0.5,1.364469
0.796,0.5,1.365519
0.797,0.5,1.366572
0.798,0.5,1.367628
0.799,0.5,1.368687
0.8,0.5,1.369748
0.801,0.5,1.370813
0.802,0.5,1.371881
0.803,0.5,1.372951
0.804,0.5,1.374024
0.805,0.5,1.3751
0.806,0.5,1.376179
0.807,0.5,1.37726
0.808,0.5,1.378345
0.809,0.5,1.379431
0.81,0.5,1.380521
0.811,0.5,1.381613
0.812,0.5,1.382708
0.813,0.5,1.383806
0.814,0.5,1.384906
0.815,0.5,1.386008
0.816,0.5,1.387113
0.817,0.5,1.388221
0.818,0.5,1.389331
0.819,0.5,1.390444
0.82,0.5,1.391559
0.821,0.5,1.392677
0.822,0.5,1.393797
0.823,0.5,1.394919
0.824,0.5,1.396044
0.825,0.5,1.397171
0.826,0.5,1.3983
0.827,0.5,1.399432
0.828,0.5,1.400566
0.829,0.5,1.401702
0.83,0.5,1.40284
0.831,0.5,1.403981
0.832,0.5,1.405124
0.833,0.5,1.406269
0.834,0.5,1.407416
0.835,0.5,1.408565
0.836,0.5,1.409717
0.837,0.5,1.41087
0.838,0.5,1.412026
0.839,0.5,1.413183
0.84,0.5,1.414343
0.841,0.5,1.415504
0.842,0.5,1.416668
0.843,0.5,1.417833
0.844,0.5,1.419
0.845,0.5,1.42017
0.846,0.5,1.421341
0.847,0.5,1.422514
0.848,0.5,1.423688
0.849,0.5,1.424865
0.85,0.5,1.426043
0.851,0.5,1.427224
0.852,0.5,1.428405
0.853,0.5,1.429589
0.854,0.5,1.430774
0.855,0.5,1.431961
0.856,0.5,1.43315
0.857,0.5,1.43434
0.858,0.5,1.435532
0.859,0.5,1.436725
0.86,0.5,1.43792
0.861,0.5,1.439117
0.862,0.5,1.440315
0.863,0.5,1.441515
0.864,0.5,1.442716
0.865,0.5,1.443918
0.866,0.5,1.445122
0.867,0.5,1.446327
0.868,0.5,1.447534
0.869,0.5,1.448742
0.87,0.5,1.449952
0.871,0.5,1.451162
0.872,0.5,1.452374
0.873,0.488376,1.453588
0.874,0.476255,1.454802
0.875,0.464122,1.456018
0.876,0.451976,1.457235
0.877,0.439818,1.458453
0.878,0.427648,1.459673
0.879,0.415467,1.460893
0.88,0.403274,1.462114
0.881,0.391071,1.463337
0.882,0.378857,1.46456
0.883,0.366632,1.465784
0.884,0.354398,1.46701
0.885,0.342155,1.468236
0.886,0.329902,1.469463
0.887,0.317641,1.470691
0.888,0.305371,1.471919
0.889,0.293093,1.473149
0.89,0.280808,1.474379
0.891,0.268514,1.475609
0.892,0.256214,1.476841
0.893,0.243907,1.478072
0.894,0.231594,1.479305
0.895,0.219275,1.480538
0.896,0.20695,1.481771
0.897,0.19462,1.483005
0.898,0.182285,1.48424
0.899,0.169946,1.485475
0.9,0.157602,1.48671
0.901,0.145254,1.487945
0.902,0.132903,1.489181
0.903,0.120549,1.490417
0.904,0.108191,1.491653
0.905,0.095832,1.492889
0.906,0.08347,1.494126
0.907,0.071107,1.495362
0.908,0.058742,1.496599
0.909,0.046376,1.497836
0.91,0.03401,1.499072
0.911,0.021643,1.500309
0.912,0.009277,1.501545
0.913,0,1.502782
0.914,0,1.504018
0.915,0,1.505254
0.916,0,1.50649
0.917,0,1.507726
0.918,0,1.508961
0.919,0,1.510196
0.92,0,1.511431
0.921,0,1.512665
0.922,0,1.513899
0.923,0,1.515133
0.924,0,1.516366
0.925,0,1.517599
0.926,0,1.518831
0.927,0,1.520063
0.928,0,1.521295
0.929,0,1.522526
0.93,0,1.523756
0.931,0,1.524986
0.932,0,1.526215
0.933,0,1.527443
0.934,0,1.528671
0.935,0,1.529899
0.936,0,1.531125
0.937,0,1.532351
